layer	head	precision	recall	f1	aupr	predicted_edges	true_edges	candidate_pairs	candidate_positives	candidate_positive_rate	evaluated_pairs	aupr_bootstrap_mean	aupr_bootstrap_std	aupr_bootstrap_ci_low	aupr_bootstrap_ci_high	bootstrap_mean_rank	bootstrap_top_k_freq
10	0	0.0	0.0	0.0	0.004296692079411364	550	32	13189	30	0.002274622791720373	13189	0.00467400410209795	0.0013764463911081083	0.0025592732621513045	0.007878012401399783	61.36	0.0
10	1	0.00909090909090909	0.15625	0.01718213058419244	0.004966267924994894	550	32	13189	30	0.002274622791720373	13189	0.005384660086642573	0.0018845316237467776	0.0027015688194884516	0.009605179133986997	33.72	0.02
10	2	0.0036363636363636364	0.0625	0.006872852233676977	0.004938772314254724	550	32	13189	30	0.002274622791720373	13189	0.005547442575239211	0.0020614400712164033	0.002832066122205012	0.009267363177264948	35.68	0.16
10	3	0.0036363636363636364	0.0625	0.006872852233676977	0.004753416071337027	550	32	13189	30	0.002274622791720373	13189	0.005345388180384936	0.0018416361827444337	0.00278667705036277	0.009562699566352452	37.7	0.06
10	4	0.0036363636363636364	0.0625	0.006872852233676977	0.004644006834736218	550	32	13189	30	0.002274622791720373	13189	0.00496959962665797	0.0015493943530516924	0.0027866428407300444	0.008440013028113981	45.98	0.0
10	5	0.012727272727272728	0.21875	0.024054982817869417	0.0062177511887399305	550	32	13189	30	0.002274622791720373	13189	0.0065935598366989355	0.002289297985640974	0.003501828432159262	0.012049178545764129	13.76	0.64
10	6	0.005454545454545455	0.09375	0.010309278350515464	0.004577483140534814	550	32	13189	30	0.002274622791720373	13189	0.0051309621423481725	0.0016686153464249066	0.0028105315761727473	0.00828091049614955	44.42	0.02
10	7	0.0018181818181818182	0.03125	0.0034364261168384883	0.004372812536103979	550	32	13189	30	0.002274622791720373	13189	0.004740754984695943	0.0014239703373855484	0.002688451892297757	0.007583205711884344	57.5	0.0
11	0	0.0036363636363636364	0.0625	0.006872852233676977	0.004338406499575075	550	32	13189	30	0.002274622791720373	13189	0.004824909279545069	0.0015209613398794405	0.002620554289768013	0.008252816373321729	57.04	0.0
11	1	0.0018181818181818182	0.03125	0.0034364261168384883	0.0044574530763348275	550	32	13189	30	0.002274622791720373	13189	0.004965912771756081	0.0015793926014005045	0.002700245029168336	0.008055068157140638	50.86	0.0
11	2	0.0018181818181818182	0.03125	0.0034364261168384883	0.00399320164284306	550	32	13189	30	0.002274622791720373	13189	0.004384281946391115	0.001259253322164194	0.002461856243806325	0.0067814810794569235	75.52	0.0
11	3	0.01090909090909091	0.1875	0.020618556701030927	0.006118956863606397	550	32	13189	30	0.002274622791720373	13189	0.006628342775825049	0.002458125791379276	0.0029201565453066615	0.011297813739610365	12.3	0.46
11	4	0.0036363636363636364	0.0625	0.006872852233676977	0.004912459361915767	550	32	13189	30	0.002274622791720373	13189	0.005290480197788063	0.001630067186518469	0.002856374232126778	0.008814646581344357	31.62	0.0
11	5	0.0036363636363636364	0.0625	0.006872852233676977	0.004451957295287301	550	32	13189	30	0.002274622791720373	13189	0.0048608722692967295	0.0014851055940010602	0.002657883629236687	0.007658241932811772	52.46	0.0
11	6	0.0036363636363636364	0.0625	0.006872852233676977	0.004679034206481398	550	32	13189	30	0.002274622791720373	13189	0.005049844591518264	0.00156815957823528	0.002738699052778944	0.008546860756579878	42.06	0.0
11	7	0.007272727272727273	0.125	0.013745704467353953	0.005710618282874305	550	32	13189	30	0.002274622791720373	13189	0.006268687672362408	0.002299802871026663	0.0031279884743540196	0.010874150964000349	15.08	0.22
